Row,AccValid,AccInvalid,RTValid,RTInvalid
101,0.983050847457627,0.964285714285714,361.707963499953,364.453662750009
102,1,1,547.107130749964,611.455261749938
103,0.916809605488851,0.88974358974359,600.073256000314,587.019755999791
104,0.988095238095238,1,528.296699749944,537.869060500014
105,0.94,0.727272727272727,645.42372999972,573.582697000347
106,0.982299498746867,1,419.242631249745,439.158067499875
108,0.954034391534392,0.6,456.333037500031,631.132026500154
109,0.923469387755102,0.977272727272727,446.950266250042,556.038382000224
110,0.990196078431373,0.970588235294118,484.076334499832,478.488699999957
111,0.973959938366718,1,443.541258500318,472.331496999686
112,0.682758620689655,0.833333333333333,436.666531249784,501.311586499924
202,0.899140211640212,0.897321428571429,495.639776749954,587.358365
203,0.920807453416149,0.733333333333333,520.974685749707,973.144689000037
204,0.947160421545667,0.916666666666667,395.509823499879,370.232933000125
205,0.957555178268251,1,489.599855250162,560.080985749664
207,0.959591836734694,0.94949494949495,455.665164500715,500.228336250075
208,0.882962962962963,0.941176470588235,662.932676500077,643.093440499797
209,0.900462962962963,0.928571428571429,488.562244250716,474.712594499579
210,0.96551724137931,0.875,482.131625500188,543.017315500038
211,0.911713286713287,0.928571428571429,713.410384500094,894.080479499735
301,0.983333333333333,0.9,485.480537249998,533.664923499941
302,0.955357142857143,0.961538461538462,519.547552499944,505.339771000081
303,0.941879866518354,0.958333333333333,488.45884824982,500.396109750227
304,0.964795918367347,0.947368421052632,527.581446500335,533.489815500161
305,1,0.908333333333333,477.238675749504,446.728755749973
306,0.941860465116279,0.8,484.942105750179,578.671702500742
307,1,1,681.7458885007,804.780758000561
308,0.972222222222222,0.972222222222222,419.736861998899,485.569911000312
309,0.957183908045977,1,435.428464250435,437.121910001224
